Data Set 1:Time(min),Data Set 1:Temperature(°C)
23.166667,57.1
23.200000,57.1
23.233333,57.1
23.266667,57.1
23.300000,57.1
23.333333,57.1
23.366667,57.1
23.400000,57.1
23.433333,57.1
23.466667,57.1
23.500000,57.1
23.533333,57.0
23.566667,57.0
23.600000,57.0
23.633333,57.0
23.666667,57.0
23.700000,57.0
23.733333,57.0
23.766667,57.0
23.800000,57.0
23.833333,57.0
23.866667,56.9
23.900000,56.9
23.933333,56.9
23.966667,56.9
24.000000,56.9
24.033333,56.9
24.066667,56.9
24.100000,56.9
24.133333,56.9
24.166667,56.9
24.200000,56.9
24.233333,56.9
24.266667,56.9
24.300000,56.9
24.333333,56.9
24.366667,56.9
24.400000,56.8
24.433333,56.8
24.466667,56.8
24.500000,56.8
24.533333,56.8
24.566667,56.8
24.600000,56.8
24.633333,56.8
24.666667,56.8
24.700000,56.8
24.733333,56.8
24.766667,56.8
24.800000,56.8
24.833333,56.7
24.866667,56.7
24.900000,56.7
24.933333,56.7
24.966667,56.7
25.000000,56.7
